annee,mois,combinaison,tache,sujetId,consigne
2023,novembre,11,2,cmu71dd0h00b88iig464wbibt,"Je suis votre ami. Vous venez d’arriver au Canada et vous avez un entretien d’embauche. Posez-moi des questions pour vous renseigner sur son déroulement."
2023,novembre,38,3,cmu71dd0s00ct8iig0ggsfax8,"Il faut être autoritaire avec ses enfants. Qu’en pensez-vous ?"
2023,novembre,45,2,cmu71dd0u00d08iigzytqunx7,"Vous voulez visiter une région québécoise. Vous allez à l’office du tourisme pour vous renseigner sur les hébergements dans cette région (type d’hébergement, situation, prix, etc.). Je suis l’employé(e) de l’office du tourisme qui vous accueille."
2023,novembre,49,3,cmu71dd0z00de8iig5xrbpyz9,"Pensez-vous que faire travailler les gens jusqu’à 70 ans est une mesure acceptable ?"
2023,novembre,67,3,cmu71dg4w00eg8iigfa03x2fl,"Certaines personnes préfèrent voyager seules. Qu’en pensez-vous !"
2024,avril,34,3,cmu71di6d00st8iigcdl5kpvp,"Pensez-vous que faire travailler les gens jusqu’à 70 ans est une mesure acceptable ?"
2024,juin,7,3,cmu71di6o00x68iigte7m5x66,"La plupart des gens veulent paraître plus jeunes que leur âge. Qu’en pensez-vous ?"
2024,septembre,4,3,cmu71di75013c8iigbax8fmdt,"Quand on s’installe dans un nouveau pays, est-ce qu’il faut changer ses habitudes de vie (alimentation, vacances, vêtements, etc.)?"
2025,novembre,8,3,cmu71dm5f01s38iigveivqrzu,"🏴Il est plus facile de vivre seul(e) qu’en famille. Qu’en pensez-vous ?"
2026,janvier,2,3,cmu71dm5n01uv8iigfa4i1ofu,"Les parents doivent laisser leurs enfants utiliser les réseaux sociaux ? Qu’en pensez-vous ?"
2026,janvier,4,3,cmu71dm5n01v08iigefyzyr6m,"Tout le monde est capable d’occuper des fonctions de responsable (responsable d’un service, un magasin, une association, etc.). Qu’en pensez-vous ?"
2026,février,48,3,cmu71dobd01zd8iig65x3oxfo,"L’accès aux soins médicaux doit être gratuit pour tous. Qu’en pensez-vous ?"
2026,avril,72,3,cmu71dobw026u8iign9uppacn,"Est-ce que vous pensez qu’il est difficile de vivre dans un pays étranger ? Pourquoi ?"
2026,mai,21,2,cmu71doc1028e8iigmr8nvx5y,"Je suis votre ami(e). Je veux organiser une sortie en famille dimanche prochain et vous me posez des questions (lieu, activités, budget, transports, etc.)."
2026,mai,22,2,cmu71doc2028h8iigexpuvrek,"Je suis votre ami(e). Je vis au Canada. Vous allez bientôt vous installer ici. Vous voulez des renseignements sur l’organisation des transports (modes/moyens, prix, fréquence, rapidité, etc.)."
2026,mai,23,2,cmu71doc2028i8iigzino25va,"Je suis votre voisin(e). J’ai mis en vente un meuble dans le hall de l’immeuble (table, canapé, etc.). Vous êtes intéressé(e) et vous venez me poser des questions pour vous renseigner (état du meuble, prix, livraison possible, date, etc.)."
2026,mai,24,2,cmu71doc2028k8iigwgj10rju,"Vous venez d’arriver au Canada et vous m’hébergez pendant quelques jours. Nous sommes des ami(e)s. Vous me demandez des conseils pour trouver et louer un appartement (loyer, quartiers, modalités, etc.)."
2026,mai,25,2,cmu71doc2028n8iig78f0ovlf,"Vous êtes à l’hôtel pour quelques jours. Je suis responsable de l’accueil. Vous me posez des questions pour organiser votre séjour (petit-déjeuner, accès Internet, renseignements publics, transports, activités, etc.)."
2026,mai,26,2,cmu71doc3028p8iig4efioxpj,"Je suis votre collègue. Je cherche un(e) partenaire pour faire du sport. Vous êtes  intéressé(e). Vous me posez des questions sur mon activité sportive (type d’activité,  horaires, niveau, etc.)."
2026,mai,27,2,cmu71doc4028q8iigp2mkmpw5,"Je suis votre voisin(e) et nos enfants sont amis. Je vous propose d’emmener votre enfant  en vacances avec ma famille. Vous me posez des questions avant d’accepter (lieu, dates,  activités prévues, etc.)."
2026,mai,28,2,cmu71doc4028t8iig2diac0pj,"Je suis votre voisin(e). Je suis bénévole dans une association qui protège  l’environnement. Vous souhaitez participer aux activités de cette association. Vous me  posez des questions pour obtenir des informations (types d’activités, horaires, autres  participants, etc.)."
2026,mai,29,2,cmu71doc4028u8iigg96g3tcx,"Je travaille à l’accueil d’un musée. Vous souhaitez visiter ce musée avec des amis. Vous me posez des questions pour organiser votre visite (heures d’ouverture, prix, visites guidées, etc.)."
2026,mai,30,2,cmu71doc4028v8iigtnw5c14r,"Je travaille dans une agence de voyages. L’agence organise des excursions à la journée.  Vous êtes intéressé(e). Vous me posez des questions sur les journées proposées (lieux  visités, prix, organisation, etc.)."
2026,mai,31,2,cmu71doc5028x8iigzlhzde4u,"Je travaille à l’accueil d’un musée. Vous voulez organiser une sortie familiale. Vous me  posez des questions pour obtenir des informations utiles sur le musée (expositions, prix,  horaires, etc.)."
2026,mai,32,2,cmu71doc5028z8iigs8oz1dqd,"Nous sommes collègues. Vous souhaitez partir en week-end et je vous conseille de visiter une ville que je connais bien. Vous me posez des questions sur cette ville (hébergements, restaurants, lieux à visiter, etc.)."
2026,mai,33,2,cmu71doc502908iig7kc4btbk,"Je suis votre ami(e), j’adore le Canada. Nous discutons. Vous  m’interrogez pour comprendre pourquoi j’adore le Canada (cuisine,  habitants, paysages, etc.)."
2026,mai,34,2,cmu71doc602938iigp9k2ux5u,"Je suis votre ami(e). Vous voulez passer des vacances au Canada.  Demandez-moi des conseils pour organiser votre voyage (transports,  hébergements, tarifs, etc.)."
2026,mai,35,2,cmu71doc602958iignee9hok6,"Je suis votre colocataire. Je souhaite prendre un animal de compagnie.  Vous me posez des questions pour comprendre mon souhait (animal,  coût, soins, vacances, etc.)."
2026,mai,36,2,cmu71doc602978iigm37986ur,"Je suis votre voisin(e), je pars en voyage au Canada la semaine  prochaine. Vous me posez des questions pour avoir des détails sur ce  projet de voyage (durée, lieux, type de voyage, etc.)."
2026,mai,37,2,cmu71doc602988iigxmr4p0f8,"Je suis votre voisin(e). Vous voulez organiser un pique-nique. Vous me  demandez des conseils (lieu, nourriture, activités, etc.)."
2026,mai,38,2,cmu71doc6029b8iigtwddq1es,"Je suis votre ami(e). Je pars en vacances. Je vous demande de garder mon chat. Vous me posez des questions sur mon animal (alimentation, sorties, soins, etc.)."
2026,mai,39,2,cmu71doc7029d8iigjkifl6c7,"Je suis votre ami(e). J’ai organisé mon anniversaire sur un bateau. Vous êtes intéressé(e). Vous me posez des questions pour avoir plus d’informations (prix, invités, organisation, etc.)."
2026,mai,40,2,cmu71doc7029f8iiglid4xokb,"Je suis votre collègue. Je fais partie d’un club de marche. Vous êtes intéressé(e). Vous me posez des questions pour obtenir des informations (lieux, horaires, équipements, etc.)."
2026,mai,41,2,cmu71doc8029g8iigu0lwnfv6,"Je travaille à l’accueil d’un centre culturel. Vous souhaitez vous renseigner sur les activités proposées. Vous me posez des questions pour avoir des informations (types d’activités, horaires, public, etc.)."
2026,mai,42,2,cmu71doc8029i8iigrwp2bhem,"Je travaille à l’accueil d’un terrain de camping. Vous voulez louer un emplacement dans le camping. Vous me posez des questions pour organiser votre installation (prix, types d’emplacement, services, etc.)."
2026,mai,43,2,cmu71doc9029k8iigj0ezadtr,"Je suis professeur de sport (gymnastique, yoga, ping-pong, etc.). J’organise un stage le week-end prochain. Vous êtes intéressé(e), vous me posez des questions sur le stage (lieu, niveau, stagiaires, etc.)."
2026,mai,44,2,cmu71doc9029m8iigdkvct1iu,"Je suis un(e) ami(e). La semaine dernière, j’ai assisté à une émission de télé dans le public. Vous me posez des questions sur cette expérience (modalités d’inscription, durée de l’enregistrement, caractère de l’animateur, etc.)."
2026,mai,45,2,cmu71doc9029o8iig0080uts5,"Je suis votre collègue. J’ai passé une semaine dans une ville que vous ne connaissez pas. Vous me posez des questions sur cette ville (taille, quartiers, transports, etc.)."
2026,mai,46,2,cmu71doca029r8iig3pddpror,"Je travaille dans un office de tourisme au Canada. Vous souhaitez faire une semaine de randonnée. Vous me posez des questions pour obtenir des informations sur les offres existantes (tarifs, durée, lieux proposés, etc.)."
2026,mai,47,2,cmu71doca029t8iign7nvahms,"Je travaille dans une agence pour l’emploi. Vous venez de vous installer au Canada et recherchez du travail. Vous me posez des questions pour obtenir des informations sur les offres existantes (emplois, horaires, salaires, etc.)."
2026,mai,48,2,cmu71docb029u8iigbib9hyfr,"Je suis un(e) de vos collègues. Vous êtes arrivé(e) récemment dans l’entreprise et vous souhaitez en savoir plus. Vous me posez des questions sur le fonctionnement de l’entreprise (organisation, ambiance, cantine, etc.)."
2026,mai,49,2,cmu71docb029w8iigqj902ujw,"Je suis votre ami(e) et je vous invite à une fête. Vous venez de vous installer au Québec et c’est votre première fête ici. Vous me posez des questions sur cet événement (heure, cadeau à apporter, tenue, etc.)."
